abs absolute
acc access
acc accumulator
addr address
adm administrator
alloc allocate
amd advanced-micro-devices
args arguments
args arguments
attr attribute
bug buffer
cfg configure
ch char
cmp compare
comp compare
comp compute
cond condition
cp copy
cpu central-processing-unit
ctrl control
cur current
dac digital-analog-converter
decl declaration
decl declare
desc describe
dev device
dir directory
err error
exp expression
ext extension
ext external
fd file-descriptor
fs file-system
func function
id identifier
id identity
info information
insn instruction
int integer
intr interrupt
io input-output
lang language
led light-emitting -diode
loc location
max maximum
mem memory
min minimum
msg message
off offset
orig origin
paren parenthesis
parm parameter
prev prvious
proc procedure
ptr pointer
qty quality
qty quantity
recog recognise
ref reference
refs references
reg register
req request
ret return
rhs rhight-hand-side
sched schedule
sig signal
spec specification
sp space
sp stack-pointer
src source
stat status
str string
subr subroutine
sym symbol
sys system
tcp transmission-control-protocol
temp temporary
tmp temporary
tty terminal-device
uid user-id
usb universal-serial-bus
val value
vec vector

cmd command
ptr pointer
ctrl control
cfg config configure

cp copy

extra xtra
xport export?
xref crossref
xclude exclude
xfer transfer

